session,predict
"[2484, 874, 6910, 1488, 3327]","[3465, 2868, 8650, 336, 4266, 4712, 3745, 1135, 8845, 6986, 6536, 147, 2424, 1342, 5373, 419, 6610, 4815, 3818, 9323]"
[3645],"[2826, 3462, 5473, 7283, 3461, 1783, 326, 4938, 3702, 2447, 2561, 1964, 8045, 115, 282, 284, 3615, 6485, 947, 2746]"
"[3302, 9015]","[9045, 712, 2567, 1514, 2367, 2385, 2503, 3361, 2843, 10016, 1242, 11533, 2449, 3989, 3101, 719, 11022, 715, 3959, 4068]"
"[6352, 6455, 1605]","[4399, 3880, 5812, 5453, 4280, 2069, 2848, 11203, 1183, 6765, 4573, 5045, 7669, 6267, 670, 3055, 10016, 7900, 6502, 2347]"
[7706],"[9439, 5775, 2647, 7650, 591, 1793, 2048, 7707, 6997, 1411, 2962, 116, 7222, 8236, 3411, 3099, 4180, 9, 4635, 9827]"
[1951],"[2560, 10252, 6492, 2447, 8856, 2841, 2823, 1978, 3154, 4778, 3462, 1881, 7273, 5057, 1559, 5058, 10641, 1941, 1571, 2561]"
[2367],"[779, 5830, 8721, 801, 2783, 8128, 1973, 6715, 983, 69, 535, 3475, 1224, 636, 1433, 1242, 305, 3977, 2326, 1244]"
"[4709, 2713]","[2714, 1759, 4710, 8869, 1672, 1153, 3599, 6623, 3648, 11213, 94, 4031, 1220, 9852, 5540, 503, 3140, 809, 1120, 239]"
"[1395, 82, 628, 394, 5987]","[7211, 605, 6836, 11372, 3512, 4170, 2686, 4609, 140, 5027, 4382, 897, 5797, 2893, 1168, 2469, 10412, 8318, 4837, 2308]"
"[2428, 2124]","[10653, 2150, 5373, 336, 3081, 2047, 1507, 2125, 482, 946, 2917, 6681, 1440, 159, 810, 2927, 527, 2840, 392, 433]"
[2383],"[3813, 4860, 8678, 8754, 2384, 3141, 9059, 671, 1215, 3339, 4026, 790, 7202, 6666, 7463, 2657, 509, 3033, 1768, 40]"
"[1431, 1284]","[757, 481, 3187, 5621, 4494, 8123, 9149, 313, 2306, 903, 3343, 482, 2890, 2417, 1477, 2618, 546, 863, 2937, 2764]"
"[175, 5053, 159, 2806]","[14, 18, 150, 515, 140, 930, 2327, 2636, 6328, 1849, 168, 1847, 5094, 2312, 5053, 1908, 2652, 73, 11, 10801]"
[4135],"[6343, 4136, 3396, 5667, 4082, 211, 4289, 5177, 2568, 4938, 2529, 5199, 2386, 5607, 8769, 1240, 469, 9894, 417, 3339]"
"[216, 8696]","[8697, 480, 5193, 10922, 2375, 2013, 1564, 5348, 7197, 859, 4343, 9325, 1892, 4042, 2425, 724, 1178, 3964, 1055, 2195]"
"[1244, 7843]","[988, 1736, 1410, 2047, 8134, 6191, 147, 6957, 7297, 6697, 93, 1150, 2854, 2959, 7594, 269, 3984, 8252, 2860, 1553]"
[1247],"[2665, 8274, 2413, 3890, 840, 2937, 6220, 2463, 124, 3033, 333, 1700, 2733, 647, 73, 480, 68, 1086, 1214, 18]"
"[5399, 11089]","[6044, 170, 9774, 3087, 7929, 1977, 1240, 8552, 132, 6522, 11416, 11239, 9085, 2455, 10740, 725, 4533, 8090, 2386, 5334]"
[73],"[1125, 14, 146, 944, 2652, 18, 140, 2947, 1114, 4933, 148, 74, 5121, 3392, 10537, 495, 5037, 2304, 4887, 2665]"
[4001],"[1614, 2513, 3334, 1866, 2076, 4785, 313, 796, 4265, 6019, 3209, 991, 10384, 1779, 879, 4198, 509, 8755, 5077, 92]"
"[3751, 4511]","[3753, 4512, 1302, 1321, 4304, 1030, 7206, 1142, 2551, 8909, 1723, 2532, 5764, 3131, 4708, 10596, 7285, 3207, 7373, 1594]"
[9420],"[1895, 7946, 2716, 242, 64, 313, 71, 1766, 6392, 1440, 471, 136, 3047, 9059, 1489, 3867, 9011, 8852, 2994, 1223]"
[2827],"[2561, 5058, 5057, 2447, 4778, 3462, 2822, 919, 1964, 2055, 6492, 2826, 2827, 2015, 2338, 927, 7118, 6485, 2054, 3837]"
[1475],"[1028, 1889, 7029, 2125, 5726, 170, 3195, 1506, 5579, 3257, 1051, 489, 6776, 1154, 4108, 11, 1453, 1476, 612, 1769]"
"[5676, 4260, 11359]","[7987, 9518, 517, 9979, 10819, 1043, 1506, 1619, 4800, 537, 4503, 741, 471, 1149, 3221, 10275, 408, 10849, 778, 5573]"
"[7629, 7840]","[542, 1243, 6706, 7983, 11298, 3538, 5279, 4628, 4985, 3485, 6235, 5669, 673, 12, 10137, 7318, 1936, 231, 6301, 1036]"
[488],"[8680, 9140, 9323, 460, 5875, 3619, 3747, 810, 5210, 1517, 225, 7453, 3290, 489, 2126, 587, 45, 4494, 394, 3816]"
"[2240, 1132, 1813]","[1387, 305, 293, 2882, 274, 6692, 4679, 4966, 10010, 1122, 10704, 5379, 3175, 4821, 471, 6348, 1624, 3005, 93, 3378]"
"[11016, 762, 1488, 2928]","[10023, 8271, 978, 10230, 3332, 9191, 7978, 2437, 4272, 11122, 10374, 5078, 6535, 2317, 6545, 4377, 2841, 2319, 1507, 1819]"
"[342, 4263, 4954, 3157, 5402]","[145, 150, 160, 159, 587, 11, 2254, 894, 4213, 170, 10422, 9074, 8820, 73, 366, 4705, 6690, 7370, 1124, 1265]"
"[11053, 147]","[9762, 5158, 4896, 1591, 57, 9664, 3807, 8563, 1934, 3940, 2803, 3044, 1363, 1864, 9542, 547, 6079, 718, 3217, 6806]"
"[6557, 3366, 6558, 2374]","[3911, 2374, 3168, 7523, 6021, 619, 2151, 2164, 11229, 8453, 7850, 8737, 11356, 71, 2375, 1685, 8444, 8810, 10293, 632]"
[1304],"[3812, 6029, 1305, 6536, 2440, 1143, 2463, 471, 546, 1357, 791, 1141, 3507, 3621, 6846, 744, 5136, 1396, 6270, 1550]"
[1206],"[5309, 8014, 3078, 9057, 3912, 1920, 1207, 4706, 3032, 5800, 121, 1088, 3752, 6876, 1279, 4010, 2126, 825, 3543, 492]"
[5455],"[4969, 5456, 1809, 5983, 9323, 4932, 9626, 482, 6462, 4979, 1567, 4698, 5067, 3366, 5734, 8371, 8606, 4617, 7876, 3669]"
"[1770, 9862]","[1321, 469, 7441, 1284, 2384, 3147, 309, 1175, 3551, 1866, 1567, 2424, 1048, 2053, 4323, 7518, 533, 498, 1934, 5681]"
"[4288, 3847]","[726, 790, 159, 483, 11353, 546, 8115, 4293, 758, 2854, 789, 4921, 614, 2463, 4588, 3140, 7295, 696, 471, 1290]"
[5948],"[4833, 8913, 1798, 1716, 697, 5594, 7029, 1828, 995, 702, 2017, 2821, 2538, 4002, 9532, 4893, 744, 277, 3167, 1019]"
[5925],"[7178, 5926, 11524, 1640, 3326, 10049, 6165, 9397, 1068, 1448, 4766, 2326, 4025, 8442, 5310, 2922, 2665, 3282, 1809, 2075]"
"[1587, 5981, 3282]","[1907, 4888, 10054, 336, 7315, 2176, 4187, 10096, 9873, 3822, 636, 4924, 9523, 8601, 3789, 5725, 9933, 5640, 7792, 2945]"
"[569, 4479]","[1659, 790, 5315, 758, 385, 1028, 78, 887, 3512, 483, 2535, 3295, 817, 8688, 3764, 1971, 109, 482, 449, 789]"
"[73, 1168]","[1403, 18, 946, 2686, 947, 3392, 6943, 1826, 6408, 724, 5404, 140, 2308, 146, 8236, 5377, 1861, 67, 7045, 4266]"
"[1487, 1758, 1283]","[3145, 3069, 5078, 5054, 4343, 6553, 263, 37, 1666, 2568, 846, 4901, 5781, 15, 2608, 9399, 3816, 1703, 1175, 94]"
[5400],"[8569, 2258, 2367, 131, 168, 6547, 479, 2728, 4667, 2127, 3573, 724, 7709, 8476, 4389, 3940, 1391, 2256, 8087, 7211]"
"[336, 4075]","[2533, 1258, 3692, 4041, 1834, 2947, 5827, 2174, 5955, 3326, 1410, 489, 1384, 482, 5706, 2085, 1423, 3765, 180, 777]"
[11199],"[4631, 192, 2520, 5355, 791, 2928, 9762, 2303, 4795, 2488, 1076, 3914, 11454, 7698, 11200, 10068, 4079, 1308, 3139, 4126]"
[5743],"[2492, 5744, 8098, 4636, 11022, 71, 1519, 501, 1951, 481, 2246, 2826, 1624, 3396, 12, 10817, 4020, 111, 2223, 2890]"
"[5553, 3333]","[11116, 311, 2502, 8162, 3805, 9325, 2438, 2150, 4796, 3334, 2300, 1570, 2691, 7169, 11495, 9837, 5083, 1055, 1063, 6291]"
"[1708, 6184, 4499]","[483, 6442, 4371, 771, 6955, 3350, 1153, 9737, 1435, 8997, 7231, 10502, 5591, 6429, 9140, 6636, 7574, 392, 2303, 9123]"
[4607],"[9360, 2367, 6312, 2168, 584, 5385, 710, 1639, 4539, 1323, 2141, 5613, 1232, 4608, 10769, 1034, 1029, 216, 722, 3453]"
"[10256, 4340, 168, 5885]","[1164, 3835, 9730, 333, 7938, 2492, 8548, 7745, 3367, 11433, 18, 55, 1176, 10184, 2184, 385, 6502, 1086, 7023, 5514]"
"[6660, 628, 2397, 570, 2612]","[2327, 154, 1028, 757, 1624, 2349, 237, 1142, 7698, 3320, 5706, 2717, 3139, 1999, 217, 3275, 2304, 1047, 2018, 3844]"
[4251],"[2470, 2070, 3522, 6240, 1634, 3147, 4051, 1284, 8920, 2618, 4252, 1664, 3498, 1323, 7165, 7545, 2561, 2532, 5173, 651]"
[592],"[593, 2677, 5230, 3507, 7850, 1359, 509, 23, 1996, 628, 11409, 9644, 2397, 5845, 1721, 12, 1150, 3026, 6552, 482]"
[9796],"[11539, 2025, 3453, 8085, 1996, 8551, 3772, 587, 3455, 1658, 1929, 3258, 3124, 1706, 2775, 6264, 519, 282, 570, 7517]"
[4378],"[5424, 1880, 521, 4124, 3655, 4118, 870, 762, 4068, 4609, 1895, 1142, 3076, 2400, 1304, 6279, 4379, 2777, 3052, 2531]"
[1959],"[1154, 7817, 6913, 2327, 2287, 1050, 3209, 98, 3139, 4630, 1938, 2822, 1682, 103, 4438, 1150, 11483, 1232, 3005, 6949]"
[3009],"[3802, 7511, 1775, 5076, 1422, 3816, 1400, 9372, 2924, 3687, 1640, 3141, 329, 2091, 4549, 6383, 3387, 4759, 8633, 114]"
[6858],"[40, 694, 9923, 482, 1302, 3612, 2973, 1997, 8925, 1315, 10837, 8207, 7382, 2932, 665, 747, 4629, 6909, 2084, 4779]"
"[3165, 506]","[507, 2853, 5577, 554, 553, 5852, 4711, 5579, 2024, 2021, 506, 2022, 2020, 5304, 1345, 6841, 536, 664, 5578, 3165]"
[2386],"[2555, 604, 11, 10779, 1166, 1232, 2126, 9, 7789, 9990, 2238, 1239, 3027, 165, 161, 462, 9632, 2430, 1835, 6152]"
"[569, 484, 1566, 540]","[271, 1242, 9947, 7055, 9913, 779, 5562, 9686, 2781, 4025, 43, 2727, 5695, 2814, 8218, 6521, 1795, 34, 5178, 5350]"
"[3815, 1304, 2839]","[3115, 75, 9420, 3116, 6552, 2126, 11444, 5899, 11263, 1191, 2631, 4408, 299, 2282, 802, 3355, 3757, 1143, 3549, 7752]"
"[1801, 3313, 4883]","[2627, 1344, 3237, 2568, 2503, 7696, 6231, 8459, 2928, 5585, 322, 2245, 4795, 4113, 11503, 10068, 10562, 5684, 4885, 637]"
[6265],"[1047, 3023, 2724, 2663, 8833, 6623, 17, 8842, 2593, 1177, 1063, 7378, 9131, 8664, 8275, 225, 3372, 487, 5137, 9978]"
[947],"[4031, 7502, 4840, 2104, 2669, 2571, 1774, 4356, 833, 953, 10184, 322, 2158, 373, 467, 3381, 5849, 948, 3432, 5730]"
"[2696, 1708]","[3295, 128, 538, 8864, 487, 4767, 2143, 459, 4860, 3600, 2819, 483, 1971, 2413, 5087, 4220, 1317, 482, 7698, 3669]"
[3057],"[3058, 4079, 3858, 1828, 1042, 2656, 3147, 590, 1986, 683, 953, 8437, 3381, 483, 6373, 2121, 7738, 471, 5057, 425]"
[4148],"[372, 1304, 9727, 4173, 1164, 321, 255, 2927, 1342, 3479, 253, 4149, 1767, 4602, 10238, 1323, 3691, 8123, 3196, 488]"
[1447],"[5919, 5467, 1545, 2463, 1448, 109, 1028, 1843, 1999, 1302, 2385, 350, 803, 2213, 1521, 5117, 7022, 3139, 3165, 40]"
[11282],"[9573, 5189, 11283, 9236, 11080, 1713, 7966, 1978, 6991, 1109, 9653, 10647, 4141, 2419, 137, 80, 7102, 824, 10145, 4917]"
[321],"[322, 2106, 9109, 3755, 68, 1875, 4292, 4429, 2893, 4345, 2372, 1311, 4760, 3482, 6774, 3179, 9540, 3492, 15, 2404]"
"[8140, 6111]","[4662, 6340, 216, 1342, 215, 3310, 757, 4323, 720, 10607, 9318, 2802, 2549, 2047, 570, 3288, 6942, 937, 10685, 2927]"
[7065],"[8831, 897, 2817, 2020, 954, 5695, 1659, 2019, 628, 1097, 3272, 5610, 3147, 3595, 4154, 10497, 507, 2189, 1521, 554]"
[2391],"[2392, 2946, 3075, 159, 6552, 5421, 4277, 5446, 1760, 3647, 7222, 5150, 1795, 897, 329, 3147, 3538, 1587, 1167, 2350]"
"[2899, 5842]","[2902, 1587, 6558, 9074, 5106, 2077, 8564, 10824, 9332, 5256, 9668, 4445, 5601, 11644, 11182, 1383, 6461, 4907, 3281, 3744]"
"[7307, 1471]","[2444, 10826, 333, 5077, 867, 2246, 5577, 921, 1202, 551, 3688, 7933, 7059, 5036, 1110, 4494, 519, 2151, 737, 3181]"
[10507],"[4038, 1499, 3518, 7865, 5844, 4491, 9788, 3231, 10759, 752, 924, 8264, 848, 913, 5501, 8641, 3850, 743, 2321, 2968]"
[9539],"[663, 1564, 2021, 1345, 9540, 7144, 2825, 1402, 4785, 2853, 5769, 805, 487, 3620, 5348, 1142, 5579, 8236, 159, 2106]"
"[6536, 1843]","[18, 1844, 4267, 7444, 6872, 9, 9148, 4277, 10779, 3129, 473, 6496, 7958, 5371, 14, 1757, 3184, 9830, 614, 823]"
"[4245, 429]","[1327, 2777, 7678, 1895, 2535, 6111, 1242, 6715, 4350, 3245, 2992, 6873, 989, 2730, 7914, 3939, 5733, 299, 596, 779]"
[2890],"[2891, 3239, 6272, 4663, 4837, 159, 2854, 498, 849, 2472, 1960, 2423, 663, 3472, 4418, 1477, 1154, 897, 3701, 4370]"
[148],"[149, 10472, 278, 689, 11433, 2349, 2816, 639, 2890, 118, 684, 1463, 1425, 18, 4267, 7146, 304, 4236, 5659, 333]"
"[8819, 73]","[14, 18, 2304, 148, 170, 930, 3520, 6442, 850, 340, 1841, 140, 944, 169, 1114, 146, 4199, 5037, 759, 2947]"
[4284],"[4150, 1587, 721, 329, 3215, 1570, 3366, 634, 7466, 1910, 242, 2714, 1756, 3588, 7609, 158, 5613, 3977, 5545, 6747]"
[9140],"[483, 1477, 791, 37, 1708, 6292, 1279, 3872, 1241, 2384, 3507, 9009, 3926, 5800, 2717, 3853, 879, 2126, 3295, 469]"
[190],"[1723, 7028, 1273, 5284, 879, 622, 2747, 191, 9125, 3560, 49, 6835, 222, 2947, 3792, 662, 585, 1891, 1028, 192]"
[4725],"[1461, 9604, 3075, 7032, 2326, 1321, 4370, 2827, 1782, 3172, 1221, 3834, 509, 336, 2431, 2561, 3381, 62, 268, 11651]"
"[628, 4614]","[2826, 11370, 7969, 10973, 936, 1297, 11616, 11284, 10327, 1634, 6869, 5466, 2372, 2270, 904, 3812, 3452, 2106, 6393, 7442]"
[3934],"[12, 170, 7222, 3935, 7676, 7, 1321, 1125, 613, 73, 604, 18, 1666, 2996, 2103, 1166, 403, 396, 3816, 1835]"
[7389],"[6076, 2092, 3688, 8818, 156, 3695, 680, 4463, 5136, 4289, 7390, 7323, 1287, 9181, 5417, 6500, 8835, 4519, 5460, 112]"
[10852],"[305, 7167, 5345, 12, 1593, 7318, 394, 4310, 3105, 485, 7835, 3882, 2258, 482, 2367, 481, 6020, 4068, 628, 483]"
[225],"[228, 2094, 2381, 230, 2096, 10327, 9148, 5654, 1811, 5819, 4525, 2275, 5859, 7969, 2684, 9150, 140, 9173, 2264, 6118]"
[4499],"[7617, 676, 2861, 705, 4491, 288, 3033, 4500, 922, 923, 279, 3702, 285, 110, 116, 14, 2823, 2084, 2177, 4665]"
"[10738, 5840, 9945, 3033]","[743, 2126, 300, 5158, 482, 1060, 936, 1927, 1313, 483, 4452, 5472, 897, 2300, 401, 8648, 1051, 6074, 4140, 6082]"
"[11142, 4472]","[3554, 4161, 9825, 979, 9197, 5274, 6993, 7623, 11459, 1581, 8764, 479, 10166, 5318, 5218, 6242, 1684, 2688, 10937, 3551]"
[11200],"[1571, 595, 3255, 1682, 305, 2273, 1069, 122, 2618, 1941, 3848, 11464, 4457, 7541, 791, 92, 4310, 8751, 1130, 783]"
"[10454, 8680]","[635, 159, 3470, 2612, 10093, 6467, 2326, 546, 2028, 2102, 532, 3401, 5399, 1323, 3538, 3381, 2437, 4379, 9023, 370]"
"[2603, 4517, 2071, 3878]","[23, 1453, 3223, 8512, 6783, 4388, 10919, 69, 532, 11070, 2136, 6811, 8206, 7424, 7929, 2386, 4127, 4670, 2169, 1896]"
[4695],"[1839, 2644, 305, 8098, 73, 2263, 4490, 50, 1028, 11, 9, 1122, 12, 3147, 2463, 21, 3849, 4696, 759, 2148]"
[2999],"[9528, 3291, 2664, 3000, 1521, 8880, 1491, 401, 5876, 384, 8123, 2555, 5369, 300, 5787, 673, 1154, 4345, 8097, 863]"
[1962],"[1683, 1651, 3702, 3278, 2733, 1702, 6202, 1286, 280, 471, 1122, 8728, 8303, 740, 6709, 5021, 638, 985, 5923, 3858]"
"[7819, 3271, 2947]","[2273, 1513, 1342, 2944, 2341, 1397, 2948, 1177, 480, 2444, 1179, 5224, 1030, 2425, 2875, 9503, 4490, 337, 8128, 236]"
"[983, 6847]","[5540, 154, 8958, 7424, 3670, 10645, 6941, 4173, 1164, 1766, 6225, 6584, 1026, 988, 7594, 606, 5212, 8171, 1778, 1284]"
[3189],"[2717, 4503, 4260, 6262, 4446, 11198, 4502, 606, 2437, 9982, 637, 2326, 1178, 2872, 1247, 6240, 288, 5543, 10465, 4166]"
[7142],"[2840, 7143, 6623, 1263, 3583, 3513, 305, 4263, 15, 880, 8215, 92, 4108, 4683, 3271, 1660, 159, 1164, 162, 810]"
[3603],"[2595, 5391, 11581, 9538, 2880, 10966, 2155, 8082, 5067, 3604, 4921, 638, 3306, 5065, 305, 2, 989, 15, 1667, 2546]"
"[163, 14]","[2103, 946, 613, 11072, 11579, 2806, 9220, 73, 4194, 1822, 215, 473, 170, 575, 169, 947, 8145, 8658, 9719, 40]"
"[6957, 4891, 4734, 1700]","[3139, 6030, 6564, 11488, 5136, 3019, 1933, 4220, 996, 10588, 1918, 4379, 3480, 1477, 4512, 1028, 3473, 4005, 4636, 4459]"
[4842],"[4137, 4843, 8155, 2257, 6098, 1710, 5559, 255, 7947, 6019, 8300, 2327, 3611, 2964, 5695, 3782, 1691, 336, 3388, 4139]"
"[3891, 2326]","[1322, 2644, 4075, 3381, 996, 1251, 5747, 4292, 1476, 1540, 2730, 2385, 10538, 4603, 988, 1321, 673, 313, 409, 5599]"
[1302],"[59, 4185, 4960, 5034, 4088, 1143, 7998, 6286, 1303, 3121, 5904, 4444, 2937, 5136, 3692, 1342, 495, 159, 1186, 1204]"
[10610],"[2663, 10611, 4921, 4987, 1342, 2927, 2568, 7056, 3145, 4640, 313, 480, 336, 4965, 569, 5916, 3654, 3882, 3695, 5733]"
[7129],"[3765, 1332, 1692, 3507, 4251, 3361, 487, 3701, 14, 4402, 3258, 4622, 12, 8309, 7022, 1604, 73, 10194, 7906, 787]"
[9847],"[585, 1480, 482, 4581, 1713, 49, 4868, 9187, 122, 3147, 4618, 1941, 684, 489, 6546, 1122, 23, 8298, 4799, 4765]"
"[10256, 2381]","[10258, 9917, 3986, 531, 6636, 5632, 4471, 1855, 4978, 8646, 10257, 1506, 1713, 6873, 3549, 2042, 5552, 5240, 7034, 8329]"
[9141],"[2997, 4783, 846, 3147, 4450, 160, 3271, 1423, 1168, 482, 11213, 36, 2558, 1028, 293, 2189, 1832, 947, 1220, 638]"
[242],"[3467, 313, 2973, 4570, 2145, 1971, 5827, 4304, 308, 1028, 2228, 2417, 8232, 7524, 3485, 7754, 2258, 5958, 4857, 2519]"
[7986],"[169, 747, 835, 488, 482, 73, 270, 385, 4468, 2327, 170, 3492, 1474, 292, 3702, 758, 2872, 3827, 965, 3247]"
[1621],"[4650, 10524, 3730, 7311, 3192, 840, 277, 1356, 4108, 7411, 2690, 2880, 8766, 5649, 12, 413, 1104, 6044, 6719, 1166]"
"[4303, 1304]","[4304, 1306, 1143, 802, 4795, 1305, 3764, 791, 7374, 1696, 505, 5264, 7023, 4500, 1125, 3189, 6029, 2869, 377, 3145]"
[8106],"[509, 2000, 788, 15, 3525, 3507, 1590, 1714, 987, 4630, 1871, 1355, 2210, 3001, 3325, 2448, 2257, 3882, 6133, 3699]"
[3614],"[3644, 3462, 3615, 919, 1964, 2561, 6492, 1783, 1782, 1302, 3837, 2446, 956, 2827, 2342, 694, 2055, 925, 6651, 4968]"
"[1024, 7722, 955, 966, 1003]","[963, 1023, 673, 1143, 3167, 1768, 1015, 7022, 3640, 1014, 1004, 655, 1013, 284, 3867, 10185, 2022, 3644, 9200, 1860]"
[353],"[157, 3628, 976, 354, 1153, 1809, 10226, 315, 2801, 483, 1894, 3600, 5771, 1870, 1304, 4440, 1140, 2188, 8135, 4949]"
"[4540, 2, 4508, 2893, 2174]","[160, 159, 638, 2, 317, 5539, 6339, 5909, 8759, 1313, 2725, 3039, 539, 6185, 3396, 2742, 8430, 737, 140, 10517]"
"[8391, 10051, 1804]","[3187, 3492, 7356, 4185, 5957, 2928, 8870, 3586, 3665, 8142, 1539, 1680, 2020, 11259, 11126, 9588, 5163, 3988, 5659, 2568]"
[1567],"[481, 1284, 2618, 757, 125, 3611, 3295, 533, 292, 1153, 966, 791, 834, 1640, 542, 2464, 538, 1321, 1239, 3242]"
[2599],"[5037, 1379, 2386, 2600, 2150, 9988, 2819, 336, 7188, 2013, 78, 846, 469, 489, 5374, 6842, 7518, 6682, 408, 1431]"
[2760],"[4103, 2761, 1581, 6460, 10397, 6169, 673, 7344, 4999, 108, 114, 10008, 305, 4914, 7058, 5752, 5746, 10913, 8601, 2546]"
"[509, 2060, 1659]","[6401, 612, 1214, 1659, 1660, 2061, 1661, 150, 1142, 1677, 790, 4377, 124, 482, 9496, 2517, 838, 3900, 7293, 1028]"
"[15, 758]","[150, 158, 2609, 159, 9579, 3398, 15, 5121, 5256, 11, 5514, 18, 4065, 604, 556, 5482, 2137, 2555, 944, 1722]"
[11506],"[3056, 4609, 2237, 3531, 116, 336, 1323, 791, 14, 1403, 1121, 4648, 6572, 2419, 2872, 704, 7845, 151, 3617, 5939]"
"[1284, 481]","[4769, 757, 8566, 1641, 107, 1517, 5145, 4630, 3613, 1244, 1247, 1285, 6193, 6174, 284, 867, 1243, 1342, 40, 995]"
"[9636, 915, 8318, 4043]","[4835, 10254, 5087, 1095, 872, 3691, 10226, 3459, 4756, 7469, 2788, 1926, 3543, 11000, 10814, 6146, 3359, 5218, 3005, 8399]"
"[3411, 1149]","[5813, 3484, 2481, 421, 1109, 1241, 4540, 68, 2329, 9, 1150, 798, 6810, 433, 2569, 3375, 3195, 498, 7148, 6439]"
[11324],"[277, 482, 7044, 790, 11325, 3364, 40, 5368, 1293, 3673, 997, 3781, 791, 2189, 305, 2417, 1948, 8281, 1214, 3447]"
"[1387, 9258, 175, 605, 6976]","[3391, 1860, 1588, 5121, 950, 5053, 2373, 4679, 2564, 5150, 7267, 18, 3033, 9702, 2986, 1768, 1168, 4430, 745, 8548]"
[2024],"[5363, 9712, 1955, 4370, 954, 2450, 2020, 1242, 392, 3963, 3370, 3367, 2148, 3595, 2520, 3029, 1887, 4882, 2025, 8634]"
"[5043, 2207]","[2349, 683, 2817, 4347, 684, 2237, 3900, 9059, 1621, 1622, 3849, 3614, 1425, 8036, 10224, 2648, 2134, 11185, 2824, 10065]"
[3785],"[10615, 9636, 4639, 2404, 1333, 1421, 11277, 467, 4050, 1142, 1596, 6597, 4194, 4188, 5088, 3786, 3189, 8075, 565, 5400]"
"[11200, 5886]","[8101, 11224, 4245, 8195, 4864, 936, 8356, 8218, 4339, 5511, 1409, 10259, 5887, 900, 4171, 3101, 4666, 5224, 10141, 3954]"
"[1484, 2510]","[454, 206, 5117, 8974, 7014, 2213, 7877, 572, 32, 1072, 1296, 396, 5608, 3191, 477, 8807, 1712, 5946, 8973, 6045]"
[2560],"[2561, 4938, 2826, 1964, 5057, 3462, 2827, 3461, 3385, 1881, 1302, 3172, 2903, 2999, 336, 2386, 2611, 4898, 5323, 927]"
