session,predict
"[1019, 5476, 514, 9785, 4587]","[7804, 6181, 3498, 4402, 1440, 9315, 594, 1147, 2987, 5248, 3216, 3018, 1994, 463, 8655, 5434, 6706, 6237, 1564, 625]"
"[304, 1028, 1056]","[2332, 1731, 2454, 3556, 731, 204, 2903, 317, 1861, 1674, 100, 1324, 3085, 138, 86, 1585, 567, 1424, 7292, 1127]"
[909],"[183, 1096, 304, 611, 854, 9632, 828, 1232, 3546, 1028, 1871, 812, 705, 1185, 6126, 21, 7098, 567, 1120, 3823]"
"[9417, 5246, 7334]","[734, 1964, 1878, 8731, 5714, 759, 4895, 3984, 6110, 1575, 249, 7967, 1499, 1277, 2389, 4955, 8643, 4999, 5868, 2770]"
[19],"[9592, 4945, 3978, 2484, 4845, 56, 249, 4750, 4678, 8423, 9348, 3618, 6600, 1225, 4663, 7672, 4331, 388, 3722, 195]"
"[36, 41]","[450, 188, 433, 204, 764, 330, 455, 1168, 149, 195, 329, 2771, 3246, 220, 1276, 194, 175, 735, 356, 321]"
[5179],"[7668, 1863, 3260, 6238, 8206, 5180, 7902, 920, 6854, 8501, 5739, 2022, 5366, 5602, 5242, 4944, 693, 2667, 4918, 7345]"
"[3473, 8281]","[5075, 4543, 8894, 9027, 3772, 703, 3102, 7765, 6196, 2780, 1355, 5175, 7012, 2659, 1344, 1903, 1583, 2962, 2677, 529]"
"[250, 304]","[1028, 33, 53, 754, 7350, 17, 303, 652, 1099, 1912, 2330, 318, 295, 24, 8, 873, 454, 2846, 970, 183]"
[250],"[1766, 183, 527, 317, 53, 164, 12, 2080, 1529, 1912, 1741, 1047, 3511, 1481, 757, 304, 1992, 5891, 1151, 3224]"
[3626],"[4955, 1827, 693, 1832, 998, 1929, 4477, 2091, 450, 2683, 736, 327, 1386, 1558, 4032, 220, 290, 4174, 5171, 672]"
[675],"[1462, 8, 172, 1625, 840, 756, 330, 2927, 4224, 976, 72, 2365, 389, 3120, 831, 1897, 960, 7008, 1818, 977]"
[1513],"[2303, 8735, 6483, 5869, 4134, 7438, 1544, 2197, 1545, 6073, 3267, 1676, 2128, 331, 326, 5691, 2439, 281, 5573, 3275]"
[152],"[331, 955, 1974, 2052, 5420, 4867, 5874, 478, 5788, 7354, 7497, 311, 1969, 7237, 2892, 897, 9450, 1767, 882, 326]"
"[8450, 281]","[3577, 3945, 7647, 829, 9126, 5668, 24, 2913, 76, 3317, 2838, 4751, 1760, 44, 282, 1941, 33, 13, 723, 6363]"
[249],"[1564, 347, 499, 15, 250, 2210, 264, 252, 713, 39, 3080, 2036, 53, 4343, 1577, 194, 488, 489, 1386, 1422]"
"[1224, 1601, 263]","[5076, 3236, 6182, 1358, 2322, 898, 7399, 575, 2998, 9704, 7115, 1996, 6902, 2193, 2954, 6544, 3387, 1919, 117, 7000]"
[6659],"[1473, 220, 7192, 7579, 1276, 354, 1594, 1855, 693, 450, 5934, 2771, 476, 2782, 3415, 1251, 1268, 331, 1204, 3304]"
[4952],"[4953, 354, 295, 337, 367, 208, 504, 28, 450, 33, 309, 719, 329, 954, 2771, 3090, 128, 2553, 7841, 1913]"
"[7682, 244, 2801]","[1099, 482, 2901, 356, 800, 5954, 1358, 2802, 461, 1505, 1026, 475, 891, 1276, 412, 5580, 4999, 5599, 5169, 605]"
"[4216, 102, 2214, 8710]","[2649, 1027, 3019, 1505, 1966, 6172, 784, 2018, 3117, 4460, 602, 6047, 2871, 6073, 6590, 6175, 220, 1109, 450, 533]"
"[2115, 4661, 1522, 2722]","[1473, 4849, 6810, 7545, 6883, 198, 4108, 2129, 8165, 1917, 1794, 8452, 3540, 1261, 4865, 1009, 9741, 513, 4442, 5163]"
[6627],"[6189, 2597, 736, 326, 325, 1604, 6603, 4891, 6591, 450, 1080, 704, 4274, 2662, 28, 324, 102, 281, 291, 1453]"
"[5133, 362]","[411, 4995, 4444, 18, 363, 354, 1928, 4299, 1978, 364, 6776, 412, 955, 268, 2334, 954, 152, 292, 330, 1927]"
"[149, 3233, 3467]","[9597, 4487, 28, 81, 3386, 450, 977, 5926, 1982, 2377, 3456, 5619, 859, 6603, 5226, 2018, 179, 53, 1646, 4958]"
"[1494, 2543, 886, 2450]","[620, 138, 2967, 12, 812, 2813, 4596, 18, 5226, 3997, 9, 1680, 36, 439, 3029, 4475, 160, 7570, 5969, 687]"
[4693],"[7321, 9392, 1473, 167, 8602, 2642, 8643, 4742, 224, 900, 6611, 4487, 6333, 4751, 5242, 6190, 384, 1144, 364, 4472]"
[9317],"[195, 2099, 450, 906, 594, 276, 278, 175, 41, 434, 3509, 1109, 541, 1653, 3834, 171, 36, 128, 2586, 1165]"
"[3021, 1308]","[2581, 175, 284, 1280, 840, 1931, 475, 2320, 3538, 1701, 7192, 4181, 1472, 1594, 4444, 4693, 188, 6659, 171, 3285]"
"[3774, 4773]","[1266, 769, 3864, 968, 1614, 695, 1535, 994, 2576, 3775, 4007, 3193, 3351, 1832, 3447, 1258, 3463, 122, 765, 4329]"
[4172],"[4173, 164, 41, 1827, 6386, 290, 1539, 2802, 672, 1586, 1762, 4106, 5924, 1661, 3334, 4938, 832, 955, 1149, 2667]"
"[3110, 712]","[4224, 4304, 128, 4555, 450, 382, 384, 2353, 602, 248, 269, 1276, 171, 238, 1513, 1456, 1197, 5851, 130, 2018]"
[362],"[8, 330, 411, 18, 1977, 224, 4444, 2810, 2096, 4122, 152, 1535, 1266, 3152, 1676, 7008, 5149, 1249, 4299, 4366]"
[2553],"[127, 6147, 2328, 7580, 1457, 826, 315, 1076, 396, 3411, 824, 450, 3950, 27, 128, 804, 195, 502, 735, 55]"
[617],"[172, 2890, 268, 1878, 2173, 959, 978, 3693, 2996, 3509, 2365, 618, 1588, 311, 2045, 18, 8, 3694, 976, 1897]"
[2080],"[304, 24, 41, 183, 828, 97, 33, 53, 3241, 1364, 1779, 21, 295, 1778, 1781, 4893, 581, 1047, 184, 3518]"
"[8745, 171, 479]","[1357, 4773, 2964, 625, 2586, 4437, 6414, 3999, 4259, 960, 3582, 2641, 1411, 3797, 3415, 541, 8540, 5173, 2824, 4396]"
[5048],"[3545, 27, 9014, 5049, 455, 1924, 1742, 6263, 282, 2191, 4050, 2661, 2846, 9488, 3646, 2640, 8687, 2134, 2413, 9119]"
[568],"[2068, 92, 123, 257, 128, 4164, 1733, 7085, 629, 118, 840, 476, 127, 1184, 943, 7115, 268, 835, 2215, 540]"
"[7136, 967]","[7137, 2125, 240, 5479, 3283, 9539, 5363, 1706, 4425, 2305, 6485, 750, 3942, 2646, 1165, 6270, 2702, 368, 191, 9229]"
[34],"[1247, 8414, 8990, 1762, 252, 1215, 5428, 1740, 757, 35, 2204, 2107, 100, 3168, 171, 288, 501, 1912, 835, 195]"
[4680],"[15, 2453, 1386, 812, 3208, 3844, 977, 194, 118, 675, 2334, 4962, 104, 941, 594, 1528, 53, 976, 690, 2225]"
"[614, 1386, 1897, 72]","[6306, 268, 1527, 4244, 3772, 2070, 2283, 2606, 8935, 417, 955, 9195, 3020, 5768, 2085, 1894, 5944, 5841, 3859, 1281]"
[1875],"[678, 956, 331, 2627, 152, 897, 2176, 4122, 5509, 1889, 707, 732, 7266, 2862, 1969, 222, 1276, 1876, 4134, 224]"
[2449],"[2556, 2837, 2453, 6264, 2580, 2477, 2414, 2450, 3562, 330, 1147, 1224, 756, 171, 160, 1596, 1555, 2544, 952, 2499]"
[8808],"[7480, 8809, 3060, 8676, 5050, 2219, 5279, 7678, 404, 7696, 1794, 1129, 9628, 8923, 8145, 2939, 9625, 3419, 963, 9560]"
"[882, 3243]","[2456, 325, 5450, 4473, 2310, 7576, 1964, 7397, 998, 6120, 1628, 5355, 2553, 2352, 1729, 1185, 4007, 1665, 6645, 5398]"
"[2255, 1979]","[1364, 1466, 4673, 199, 3383, 4894, 2629, 3844, 2106, 812, 2115, 2180, 3725, 2377, 5775, 5783, 2867, 2561, 7851, 1481]"
[367],"[354, 2764, 133, 1224, 102, 675, 8996, 171, 1440, 1072, 952, 1609, 1276, 41, 7482, 735, 368, 3090, 188, 1672]"
[999],"[5889, 6440, 8924, 8448, 1598, 2450, 412, 2442, 1140, 1868, 1000, 620, 5646, 840, 1500, 314, 2626, 3089, 6274, 5524]"
[730],"[1966, 2150, 1528, 362, 8, 291, 3285, 3025, 384, 5312, 136, 1473, 326, 731, 3257, 2581, 268, 4132, 1994, 4089]"
[937],"[938, 9508, 7240, 9416, 6489, 1839, 6448, 780, 9330, 7251, 4173, 9471, 1497, 4247, 227, 7156, 3405, 9434, 6569, 5156]"
[3664],"[53, 1360, 8249, 488, 3865, 1448, 3300, 1268, 3665, 1596, 220, 697, 314, 1818, 4391, 715, 2129, 195, 317, 41]"
[1335],"[1336, 568, 1193, 886, 5250, 1164, 273, 1990, 1318, 1434, 412, 128, 7433, 854, 4722, 2194, 3572, 1379, 3384, 1814]"
[423],"[1336, 330, 4603, 5449, 6568, 308, 1335, 906, 145, 8046, 5516, 1978, 1675, 1922, 18, 239, 325, 95, 128, 812]"
"[1343, 195, 490]","[60, 2079, 8727, 693, 174, 6870, 3236, 5052, 2930, 7609, 100, 2944, 5689, 4021, 2204, 4081, 7210, 3005, 5657, 3030]"
[506],"[331, 152, 330, 812, 3260, 60, 8, 956, 3927, 325, 2072, 800, 1969, 1977, 897, 658, 906, 194, 954, 2079]"
[72],"[3859, 3589, 1088, 955, 643, 160, 744, 183, 3772, 1022, 2497, 1500, 268, 5309, 1453, 379, 1243, 41, 617, 2813]"
"[801, 2055]","[222, 924, 1371, 340, 1640, 4459, 227, 1602, 2728, 4829, 2210, 6207, 8402, 1382, 1868, 5251, 3774, 1655, 1186, 278]"
"[3858, 4792]","[1144, 897, 9058, 160, 4224, 1184, 7741, 723, 330, 5861, 719, 3562, 3989, 4797, 1343, 6053, 600, 812, 1276, 309]"
"[668, 5400]","[2772, 1929, 707, 617, 2685, 2128, 8497, 2044, 309, 331, 292, 2673, 4298, 374, 3319, 1969, 2874, 4473, 1380, 2790]"
"[923, 998]","[5975, 6128, 765, 221, 4181, 8833, 309, 734, 118, 4028, 795, 4416, 3215, 2781, 4003, 325, 1838, 704, 326, 3765]"
[95],"[7664, 3294, 1604, 358, 5736, 5094, 6581, 8, 324, 624, 2662, 2310, 2394, 2957, 8116, 6459, 3186, 2854, 4547, 1991]"
"[614, 669]","[18, 72, 2008, 172, 4409, 268, 1527, 669, 2045, 5474, 7065, 620, 255, 1339, 1336, 4298, 831, 494, 3231, 4511]"
[7807],"[4312, 414, 952, 18, 172, 28, 566, 315, 977, 330, 974, 575, 838, 2453, 6884, 1185, 496, 5432, 954, 5533]"
"[4425, 2662]","[1528, 4491, 6113, 4321, 3325, 2663, 8086, 7169, 1024, 370, 6537, 1327, 15, 9376, 8323, 72, 3118, 6153, 2937, 3498]"
[194],"[1609, 1996, 330, 41, 354, 128, 195, 777, 1733, 481, 379, 3822, 329, 1600, 238, 107, 2018, 455, 2167, 1675]"
[6068],"[3246, 128, 195, 629, 252, 18, 1702, 66, 2181, 594, 278, 1204, 2231, 210, 288, 2781, 1422, 285, 2771, 2581]"
[5293],"[478, 5294, 1276, 4450, 4725, 9488, 5869, 144, 8338, 5810, 2910, 3919, 886, 324, 2660, 8400, 1616, 3238, 5123, 343]"
[172],"[1977, 9265, 4662, 2594, 238, 2115, 5986, 102, 389, 1558, 7024, 2576, 3394, 1636, 268, 315, 602, 840, 1462, 760]"
"[171, 5170]","[318, 3108, 4616, 151, 194, 1082, 1184, 2323, 127, 556, 438, 488, 404, 3328, 4314, 434, 325, 3246, 1994, 287]"
"[278, 5646]","[496, 6932, 2594, 3877, 9565, 2015, 1150, 2018, 4224, 6001, 100, 1265, 4388, 171, 2796, 9278, 1164, 3844, 3950, 1336]"
[2612],"[2719, 7069, 349, 1767, 2613, 2843, 6845, 344, 3678, 9309, 678, 1818, 758, 1819, 4974, 4491, 4274, 148, 1032, 2072]"
"[41, 1110, 5413]","[481, 3204, 2780, 101, 6230, 7741, 2115, 1558, 250, 1276, 1735, 2070, 1207, 3077, 1184, 1827, 3061, 330, 1409, 1653]"
[223],"[222, 2055, 1371, 7328, 3671, 7084, 8780, 1077, 1361, 1373, 7861, 2146, 122, 7576, 340, 3073, 832, 2067, 164, 6974]"
"[2805, 976, 6174, 1380, 5571]","[707, 2, 1382, 1894, 5787, 7108, 2728, 4420, 3326, 8348, 3795, 2248, 4549, 222, 8257, 772, 5038, 2057, 9407, 95]"
[1263],"[675, 194, 812, 1099, 1995, 7634, 614, 1864, 9575, 100, 803, 831, 1676, 6731, 1243, 859, 686, 3875, 2018, 7317]"
[15],"[675, 1160, 1548, 594, 4224, 3842, 756, 330, 72, 6137, 4132, 1767, 2364, 3119, 2176, 712, 68, 331, 18, 16]"
"[4377, 2394, 5941, 4091]","[188, 450, 171, 4802, 1515, 6067, 195, 2887, 329, 4486, 15, 384, 5996, 2320, 418, 1473, 194, 1452, 53, 735]"
"[1932, 0]","[959, 7692, 1249, 67, 72, 840, 2919, 8, 1147, 4417, 3498, 18, 254, 66, 506, 4018, 1833, 3588, 8870, 3589]"
[382],"[4179, 8537, 383, 428, 7266, 4750, 247, 601, 995, 1100, 4256, 2071, 661, 812, 36, 1190, 194, 7027, 6839, 152]"
[7592],"[5728, 3558, 1203, 9370, 1263, 3875, 6875, 1874, 1071, 734, 290, 4334, 5937, 906, 5537, 3968, 2301, 1298, 3751, 7610]"
"[5703, 1689]","[5704, 8442, 1539, 3557, 1929, 230, 5726, 6917, 1003, 2013, 5807, 7110, 1522, 5055, 2141, 3061, 3656, 657, 1307, 1049]"
[7729],"[8277, 149, 1614, 1951, 5520, 3799, 2148, 1237, 2887, 2800, 9, 873, 3410, 1544, 4205, 9577, 6576, 5217, 5900, 5800]"
[8047],"[1899, 3123, 490, 148, 2481, 2878, 712, 1694, 1047, 693, 284, 7084, 4968, 1515, 5792, 55, 3248, 2071, 6050, 2629]"
"[183, 1252]","[104, 304, 3824, 44, 2223, 53, 122, 5465, 190, 1116, 450, 5559, 317, 2441, 66, 2332, 4155, 2852, 19, 1951]"
[5026],"[9103, 712, 331, 1494, 3774, 690, 767, 423, 3124, 330, 6505, 3490, 1382, 2802, 9, 1798, 1832, 2455, 2660, 8994]"
"[1142, 1702, 1144, 1932]","[3694, 1774, 1041, 1794, 1933, 1875, 374, 7095, 5552, 427, 4451, 171, 1929, 548, 3360, 188, 3243, 2128, 2702, 3246]"
[2352],"[2795, 317, 276, 5153, 264, 6241, 757, 2405, 1276, 2353, 1701, 6931, 2654, 1184, 408, 7491, 2684, 661, 2947, 4653]"
[5951],"[2497, 1160, 955, 1197, 1243, 8727, 1868, 617, 19, 1450, 244, 7770, 956, 1457, 1825, 3885, 1161, 6, 41, 314]"
[5359],"[1546, 332, 4024, 4133, 2893, 2856, 1294, 6585, 1677, 4813, 4379, 331, 1942, 5453, 2072, 6317, 4417, 7830, 4944, 483]"
[6416],"[469, 3364, 1252, 86, 2144, 5071, 567, 9198, 21, 53, 2590, 650, 337, 5781, 4159, 3330, 2527, 7413, 908, 4144]"
"[504, 812]","[41, 455, 1190, 1596, 3386, 195, 450, 432, 476, 329, 2771, 648, 1046, 356, 5, 998, 194, 330, 188, 2447]"
[15],"[675, 1160, 1548, 594, 4224, 3842, 756, 330, 72, 6137, 4132, 1767, 2364, 3119, 2176, 712, 68, 331, 18, 16]"
[278],"[1184, 152, 276, 7863, 41, 1840, 506, 5272, 8624, 3744, 4950, 3865, 956, 2453, 257, 952, 2267, 475, 6713, 53]"
[100],"[1573, 2561, 7473, 101, 1538, 5399, 497, 2524, 4482, 5673, 326, 2115, 3844, 747, 28, 7897, 678, 5115, 5395, 238]"
[8],"[330, 1535, 331, 4995, 152, 3866, 325, 1928, 4802, 18, 1767, 2334, 906, 9, 707, 4697, 8265, 956, 28, 959]"
"[3067, 3171]","[458, 1922, 3627, 7452, 1101, 7760, 3264, 205, 1524, 2617, 6198, 6662, 2695, 3897, 362, 2365, 8087, 1197, 5449, 2154]"
[4991],"[877, 599, 3492, 1156, 2544, 7, 2485, 619, 1701, 104, 5156, 7486, 6343, 36, 8148, 304, 385, 17, 4968, 3335]"
"[7984, 8786, 4575]","[7907, 7140, 4695, 1005, 926, 4576, 4484, 3889, 238, 2535, 6230, 3815, 9581, 1358, 227, 4644, 53, 2094, 2606, 4248]"
[382],"[4179, 8537, 383, 428, 7266, 4750, 247, 601, 995, 1100, 4256, 2071, 661, 812, 36, 1190, 194, 7027, 6839, 152]"
[6569],"[6570, 1178, 320, 4038, 1892, 329, 552, 3961, 41, 3935, 4148, 5687, 2771, 4515, 4082, 3194, 1144, 882, 2513, 970]"
"[2194, 36]","[450, 3450, 175, 245, 3605, 1453, 204, 1892, 454, 1266, 568, 398, 316, 1791, 3163, 4117, 227, 53, 1466, 2914]"
[1539],"[7041, 488, 1540, 2453, 15, 1412, 675, 6671, 3847, 3213, 1357, 2477, 847, 821, 194, 5682, 273, 136, 178, 2184]"
[60],"[205, 678, 4959, 1647, 2112, 4742, 2586, 1977, 1648, 3768, 1930, 7353, 3833, 1674, 3260, 5655, 1827, 61, 760, 4434]"
[4740],"[4741, 812, 3143, 1028, 2373, 602, 3844, 432, 5851, 476, 171, 53, 450, 149, 273, 475, 96, 1184, 118, 1931]"
[4656],"[1996, 362, 171, 1962, 594, 1978, 1425, 194, 165, 5153, 4657, 53, 276, 1190, 1224, 2215, 330, 188, 2176, 4018]"
[960],"[3693, 67, 1818, 3958, 1625, 383, 1360, 756, 4785, 290, 172, 8, 3249, 675, 1549, 665, 740, 247, 15, 330]"
"[278, 3414, 1184, 5077, 2111]","[3260, 60, 2093, 8269, 9446, 1043, 6552, 3863, 624, 320, 2112, 704, 364, 2279, 1731, 3442, 600, 6774, 8, 3827]"
[2263],"[4243, 869, 678, 5805, 2264, 1382, 1044, 2989, 3999, 2214, 223, 1204, 5599, 5713, 4291, 5653, 3708, 4464, 906, 5752]"
[2324],"[2325, 9397, 518, 218, 5149, 477, 3998, 4274, 788, 7343, 1914, 3815, 2802, 1609, 2597, 4461, 9748, 2791, 41, 2289]"
[906],"[719, 330, 423, 28, 152, 117, 6686, 1978, 1336, 412, 5502, 5276, 7827, 833, 733, 3143, 9132, 3132, 2334, 323]"
"[4946, 7003, 955]","[956, 3762, 2267, 936, 2272, 2338, 996, 4501, 1334, 3768, 6472, 1853, 1515, 1978, 686, 370, 1577, 1796, 4547, 2456]"
[9314],"[125, 53, 263, 1243, 1667, 3130, 454, 3732, 6241, 924, 2886, 5841, 4386, 2968, 1832, 5709, 2931, 238, 602, 257]"
[171],"[194, 1276, 2278, 257, 221, 1172, 3246, 1676, 2018, 5393, 1133, 9443, 5116, 151, 220, 6585, 812, 1261, 735, 107]"
"[1185, 237]","[238, 3946, 6188, 6610, 2683, 5163, 3636, 1931, 6176, 4724, 8047, 1672, 1119, 3286, 1065, 4899, 3107, 4559, 1503, 6112]"
[1908],"[119, 1529, 6320, 3607, 2174, 8165, 8064, 1909, 5120, 218, 2144, 3663, 8459, 2103, 53, 1116, 2616, 6224, 3665, 1652]"
[4043],"[191, 723, 1408, 4962, 1491, 3095, 4906, 3051, 1494, 2194, 630, 3462, 53, 2080, 192, 1492, 21, 339, 2385, 1762]"
[3501],"[270, 220, 4746, 1548, 295, 5058, 4065, 66, 3887, 8318, 7479, 612, 3638, 3614, 1712, 469, 6545, 5670, 4548, 487]"
[1462],"[1203, 18, 1, 1068, 4444, 1463, 2498, 1077, 41, 2485, 2664, 8, 3931, 224, 268, 900, 15, 956, 175, 194]"
"[9217, 6205, 5537]","[497, 1853, 1039, 7218, 3649, 7723, 3114, 1496, 9417, 7629, 2599, 3767, 5837, 5726, 1458, 3903, 5814, 2903, 3287, 5693]"
[568],"[2068, 92, 123, 257, 128, 4164, 1733, 7085, 629, 118, 840, 476, 127, 1184, 943, 7115, 268, 835, 2215, 540]"
[518],"[60, 1827, 3238, 5449, 1704, 2367, 5820, 7285, 3318, 1674, 1978, 3768, 2456, 2594, 845, 4335, 2856, 496, 5986, 1892]"
[6141],"[212, 1019, 939, 1769, 195, 6793, 1228, 5966, 1425, 527, 319, 922, 7223, 1996, 3811, 172, 3366, 675, 41, 1833]"
[128],"[129, 752, 1025, 1251, 2067, 2068, 2852, 92, 2512, 123, 5499, 1276, 5978, 753, 122, 2491, 541, 4636, 7517, 7596]"
[9088],"[9522, 3079, 3924, 1604, 6338, 9168, 5465, 286, 2610, 8182, 4236, 291, 5021, 1576, 4603, 1612, 3849, 6374, 8517, 9431]"
[1640],"[8402, 6206, 3367, 1602, 1186, 8959, 6208, 8867, 1373, 1991, 1073, 2649, 3366, 5687, 2937, 4226, 3678, 245, 613, 5562]"
[0],"[959, 18, 8, 2445, 1897, 1588, 8608, 2268, 3348, 2870, 268, 3686, 362, 1386, 900, 152, 139, 1, 330, 2279]"
"[909, 1151, 1731, 344]","[1986, 1956, 1302, 2846, 1466, 454, 5910, 3085, 6576, 4399, 4893, 1233, 7338, 1746, 2328, 3861, 1392, 4577, 1010, 5815]"
[3244],"[757, 317, 758, 1740, 1253, 183, 828, 3856, 527, 3245, 566, 295, 3225, 223, 53, 273, 8458, 1185, 3964, 291]"
[171],"[194, 1276, 2278, 257, 221, 1172, 3246, 1676, 2018, 5393, 1133, 9443, 5116, 151, 220, 6585, 812, 1261, 735, 107]"
[3391],"[9543, 1818, 5621, 3498, 1360, 5028, 4270, 72, 268, 4312, 977, 8, 4686, 4298, 678, 712, 2272, 1977, 1855, 3120]"
[629],"[2068, 568, 123, 128, 92, 257, 812, 4437, 230, 3711, 194, 2447, 129, 4636, 1990, 171, 1106, 4354, 675, 1982]"
"[6735, 3334, 7120, 812]","[454, 464, 2304, 474, 3609, 8169, 6457, 4219, 2130, 1190, 304, 450, 1185, 449, 755, 7566, 4552, 896, 6860, 4806]"
[2093],"[325, 282, 6327, 397, 1336, 961, 6417, 489, 160, 3636, 1675, 977, 2038, 704, 6901, 719, 315, 2829, 2095, 107]"
[1687],"[4215, 6140, 2389, 1389, 6103, 4408, 1688, 4972, 5469, 741, 219, 984, 2819, 1884, 4775, 6672, 6267, 1239, 1240, 6898]"
"[3141, 8992]","[2248, 2806, 1181, 2348, 2808, 7359, 8767, 1828, 3174, 3125, 5444, 6051, 2707, 4778, 2194, 1809, 2534, 7154, 589, 906]"
[6431],"[7670, 8202, 368, 812, 1263, 2415, 33, 1585, 749, 8453, 9277, 238, 3844, 3021, 257, 372, 652, 2062, 2427, 164]"
[17],"[6, 970, 1555, 245, 33, 2013, 7, 104, 1010, 464, 304, 2805, 8274, 470, 4475, 53, 3242, 208, 452, 1142]"
[3881],"[3672, 3723, 3774, 6575, 165, 4694, 3942, 240, 3208, 6572, 983, 403, 664, 4854, 80, 2167, 1640, 8459, 2210, 2630]"
"[920, 1522]","[3204, 3441, 569, 828, 130, 6303, 31, 2039, 3657, 1653, 1323, 171, 6704, 4179, 5231, 571, 1015, 8007, 2483, 496]"
[3459],"[1308, 812, 284, 384, 131, 690, 1228, 3118, 2584, 5996, 2287, 42, 2344, 2985, 600, 149, 2320, 6409, 3139, 113]"
[7155],"[5009, 5327, 5328, 6167, 794, 5004, 1636, 7752, 6033, 7329, 5447, 7156, 5058, 4804, 1690, 1604, 7128, 622, 3361, 5798]"
[8180],"[491, 1077, 909, 5386, 478, 3670, 760, 197, 3671, 899, 1464, 1203, 4021, 2358, 4243, 765, 831, 8607, 8539, 7609]"
[183],"[304, 17, 53, 244, 21, 104, 4254, 33, 24, 3034, 414, 452, 1931, 1096, 3856, 13, 1028, 4637, 590, 3855]"
[3351],"[4768, 205, 1395, 81, 4028, 5140, 455, 1928, 7257, 2852, 704, 3311, 1640, 923, 1675, 2272, 221, 1548, 3246, 223]"
"[4148, 288]","[8865, 227, 8011, 1743, 982, 1301, 2018, 1702, 4272, 1039, 976, 2248, 2353, 450, 2011, 548, 205, 238, 2513, 9467]"
[7704],"[7092, 60, 5092, 191, 4003, 1730, 5506, 3969, 6098, 2941, 3395, 1546, 6435, 7287, 779, 197, 2272, 6932, 675, 6143]"
[2115],"[1946, 9198, 9195, 439, 358, 2802, 490, 3931, 658, 434, 1190, 1333, 970, 218, 735, 381, 470, 2116, 5882, 203]"
"[6764, 6657]","[605, 2806, 1196, 6658, 2615, 1367, 9626, 6601, 7844, 1275, 3682, 322, 4500, 4660, 7775, 1100, 4638, 1173, 2037, 1798]"
"[7451, 1087]","[2922, 7566, 7423, 2802, 1655, 1898, 1327, 1894, 347, 1598, 1088, 8994, 2214, 2596, 5971, 316, 665, 617, 2182, 7939]"
"[909, 1151, 7305, 1481, 4371]","[4779, 19, 6675, 1317, 2328, 966, 1500, 5559, 5794, 2060, 454, 7207, 304, 458, 1181, 838, 1466, 43, 191, 8383]"
[4049],"[2348, 6562, 2660, 1714, 3844, 1026, 5692, 1068, 1134, 475, 7478, 194, 6078, 1373, 3433, 1184, 28, 4050, 149, 290]"
[882],"[3287, 4330, 286, 5209, 2091, 4399, 7823, 2406, 5716, 1197, 2162, 6507, 5862, 5424, 5097, 1927, 3193, 2537, 7236, 3149]"
[1566],"[1892, 1567, 1184, 136, 153, 840, 1798, 866, 189, 7662, 6659, 450, 4922, 102, 1276, 4006, 1332, 1261, 278, 1832]"
"[4043, 3462, 723, 4907]","[4126, 7507, 19, 2672, 2641, 5652, 1550, 5728, 6117, 1743, 1819, 2416, 7960, 6480, 2125, 9329, 2237, 1212, 4122, 7080]"
[412],"[330, 325, 413, 1395, 734, 704, 998, 844, 6327, 118, 281, 1832, 1250, 534, 60, 2872, 324, 326, 9, 4450]"
[4893],"[183, 4831, 4894, 2985, 504, 8078, 6043, 1765, 6844, 96, 423, 3583, 1990, 939, 1871, 5426, 8091, 527, 1178, 4933]"
